batch,error,filename,path,Roll,q5,q6,q7,q9,q11,q1,q2,q3,q4,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,score
0,0,New_20190422_045941.jpg,inputs/OMR_Files/New/JE/20190422_045941.jpg,JE211000012,05,07,04,21,B,B,A,D,C,B,B,D,A,C,A,C,A,C,D,C,0
0,0,New_20190422_050341.jpg,inputs/OMR_Files/New/JE/20190422_050341.jpg,JE211000067,0,55,07,16,B,D,A,D,B,D,B,B,C,A,A,A,A,B,C,A,5
0,0,New_20190422_050057.jpg,inputs/OMR_Files/New/JE/20190422_050057.jpg,JE405110025,04,16,05,08,B,C,B,D,B,D,B,D,B,C,C,A,A,B,B,D,-3
0,0,New_20190422_050124.jpg,inputs/OMR_Files/New/JE/20190422_050124.jpg,JE507800026,04,61,0,08,,,,D,A,,,C,C,D,A,,A,,A,D,0
0,0,New_20190422_050408.jpg,inputs/OMR_Files/New/JE/20190422_050408.jpg,JE507830051,00,11,04,07,,,,C,,,,A,B,A,B,A,A,C,D,B,3
0,0,New_20190422_050508.jpg,inputs/OMR_Files/New/JE/20190422_050508.jpg,JE211000061,05,07,07,16,A,D,A,D,C,D,A,B,A,B,A,A,A,B,C,A,5
0,0,New_20190422_050045.jpg,inputs/OMR_Files/New/JE/20190422_050045.jpg,JE507810004,04,36,06,16,B,A,B,B,B,B,B,C,A,A,D,D,A,C,C,,6
0,0,New_20190422_050050.jpg,inputs/OMR_Files/New/JE/20190422_050050.jpg,JE507810004,04,36,06,16,B,A,B,B,B,B,B,C,A,A,D,D,A,C,C,,6
0,0,New_20190422_050100.jpg,inputs/OMR_Files/New/JE/20190422_050100.jpg,JE405110025,04,16,05,08,B,C,B,D,B,D,B,D,B,C,C,A,A,B,B,D,-3
0,0,New_20190422_050327.jpg,inputs/OMR_Files/New/JE/20190422_050327.jpg,JE211000047,06,61,02,08,B,D,D,C,C,C,B,C,A,C,D,B,A,B,D,A,0
0,0,New_20190422_045932.jpg,inputs/OMR_Files/New/JE/20190422_045932.jpg,JE211000012,05,07,04,21,B,B,A,D,C,B,B,D,A,C,A,C,A,C,D,C,0
